instrument_id,exchange,segment,security_type,angel_token,angel_symbol,base_symbol,yahoo_symbol,validation_status,last_validated,is_active,data_source,remarks
EQ_NSE_EXIDEIND,NSE,CASH,EQUITY,676,EXIDEIND-EQ,EXIDEIND,EXIDEIND.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_BIOCON,NSE,CASH,EQUITY,11373,BIOCON-EQ,BIOCON,BIOCON.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_NYKAA,NSE,CASH,EQUITY,6545,NYKAA-EQ,NYKAA,NYKAA.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_COALINDIA,NSE,CASH,EQUITY,20374,COALINDIA-EQ,COALINDIA,COALINDIA.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_SHREECEM,NSE,CASH,EQUITY,3103,SHREECEM-EQ,SHREECEM,SHREECEM.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_DMART,NSE,CASH,EQUITY,19913,DMART-EQ,DMART,DMART.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_GRASIM,NSE,CASH,EQUITY,1232,GRASIM-EQ,GRASIM,GRASIM.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_COLPAL,NSE,CASH,EQUITY,15141,COLPAL-EQ,COLPAL,COLPAL.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_AUBANK,NSE,CASH,EQUITY,21238,AUBANK-EQ,AUBANK,AUBANK.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_BRITANNIA,NSE,CASH,EQUITY,547,BRITANNIA-EQ,BRITANNIA,BRITANNIA.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_BDL,NSE,CASH,EQUITY,2144,BDL-EQ,BDL,BDL.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_CROMPTON,NSE,CASH,EQUITY,17094,CROMPTON-EQ,CROMPTON,CROMPTON.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_SBILIFE,NSE,CASH,EQUITY,21808,SBILIFE-EQ,SBILIFE,SBILIFE.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_TATACONSUM,NSE,CASH,EQUITY,3432,TATACONSUM-EQ,TATACONSUM,TATACONSUM.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_YESBANK,NSE,CASH,EQUITY,11915,YESBANK-EQ,YESBANK,YESBANK.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_MAXHEALTH,NSE,CASH,EQUITY,22377,MAXHEALTH-EQ,MAXHEALTH,MAXHEALTH.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_BLUESTARCO,NSE,CASH,EQUITY,8311,BLUESTARCO-EQ,BLUESTARCO,BLUESTARCO.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_PATANJALI,NSE,CASH,EQUITY,17029,PATANJALI-EQ,PATANJALI,PATANJALI.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_BHARTIARTL,NSE,CASH,EQUITY,10604,BHARTIARTL-EQ,BHARTIARTL,BHARTIARTL.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_MARUTI,NSE,CASH,EQUITY,10999,MARUTI-EQ,MARUTI,MARUTI.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_ICICIGI,NSE,CASH,EQUITY,21770,ICICIGI-EQ,ICICIGI,ICICIGI.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_LICI,NSE,CASH,EQUITY,9480,LICI-EQ,LICI,LICI.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_SUZLON,NSE,CASH,EQUITY,12018,SUZLON-EQ,SUZLON,SUZLON.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_CONCOR,NSE,CASH,EQUITY,4749,CONCOR-EQ,CONCOR,CONCOR.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_ZYDUSLIFE,NSE,CASH,EQUITY,7929,ZYDUSLIFE-EQ,ZYDUSLIFE,ZYDUSLIFE.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_PRESTIGE,NSE,CASH,EQUITY,20302,PRESTIGE-EQ,PRESTIGE,PRESTIGE.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_BOSCHLTD,NSE,CASH,EQUITY,2181,BOSCHLTD-EQ,BOSCHLTD,BOSCHLTD.NS,VALID,2026-05-16,True,YAHOO,
